date,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,year,month,month_name,total_sales
2014-01-31,127.69,99.09,152.1,878.03,354.0,50.0,112.0,48.2,2014,1,Jan,1821.11
2014-02-28,133.32,126.05,177.0,1001.9,347.0,31.0,122.0,36.2,2014,2,Feb,1974.47
2014-03-31,137.44,92.95,147.66,779.28,232.0,20.0,112.0,85.4,2014,3,Mar,1606.73
2014-04-30,113.1,89.48,130.9,698.5,209.0,18.0,97.0,73.7,2014,4,Apr,1429.68
2014-05-31,101.79,119.93,132.1,628.78,270.0,23.0,107.0,123.7,2014,5,May,1506.3
2014-06-30,112.07,94.71,122.9,548.22,323.0,23.0,57.0,109.3,2014,6,Jun,1390.2
2014-07-31,117.06,95.01,129.3,491.9,348.0,21.0,61.0,69.1,2014,7,Jul,1332.37
2014-08-31,134.79,99.78,123.8,583.85,420.0,29.0,37.0,70.8,2014,8,Aug,1499.02
2014-09-30,108.78,109.09,122.1,887.82,399.0,14.0,115.0,58.8,2014,9,Sep,1814.59
2014-10-31,154.75,185.24,191.6,1856.81,472.0,30.0,182.0,74.5,2014,10,Oct,3146.9
2014-11-30,138.08,100.86,142.7,723.8,489.0,19.0,112.0,45.2,2014,11,Nov,1770.64
2014-12-31,131.9,121.4,111.12,1015.66,492.0,25.0,163.0,33.4,2014,12,Dec,2093.48
2015-01-31,135.91,130.35,141.0,1044.24,463.0,24.0,177.25,42.0,2015,1,Jan,2157.75
2015-02-28,115.71,123.74,131.83,953.25,243.0,9.0,208.0,47.0,2015,2,Feb,1831.53
2015-03-31,156.04,129.39,133.8,1084.85,208.0,13.0,195.0,54.0,2015,3,Mar,1974.08
2015-04-30,154.5,101.12,122.1,940.17,192.0,5.0,97.0,112.0,2015,4,Apr,1723.89
2015-05-31,160.02,119.12,136.04,765.9,194.0,10.0,100.0,159.5,2015,5,May,1644.58
2015-06-30,151.87,113.69,145.46,746.79,217.0,12.0,193.0,125.8,2015,6,Jun,1705.61
2015-07-31,175.61,113.81,125.5,708.83,203.0,6.0,60.0,130.3,2015,7,Jul,1523.05
2015-08-31,181.69,144.52,133.4,790.79,265.5,15.0,45.0,83.7,2015,8,Aug,1659.6
2015-09-30,166.22,134.12,110.4,852.12,243.5,11.0,91.0,71.0,2015,9,Sep,1679.36
2015-10-31,195.81,127.23,146.2,1574.34,222.0,8.0,184.0,72.0,2015,10,Oct,2529.58
2015-11-30,152.78,128.23,145.9,1277.72,228.0,18.0,195.0,44.0,2015,11,Nov,2189.63
2015-12-31,159.46,131.29,137.0,1258.35,286.0,28.0,231.0,41.73,2015,12,Dec,2272.83
2016-01-31,171.65,128.4,172.5,1476.32,248.0,24.0,174.0,56.5,2016,1,Jan,2451.37
2016-02-29,173.81,137.53,134.2,1224.86,239.0,20.0,245.0,58.0,2016,2,Feb,2232.4
2016-03-31,156.64,180.59,148.4,1150.7,250.0,13.0,253.0,97.84,2016,3,Mar,2250.17
2016-04-30,166.61,146.53,147.7,998.34,318.0,18.0,216.0,162.4,2016,4,Apr,2173.58
2016-05-31,167.36,120.86,130.55,997.15,275.0,18.0,131.0,137.1,2016,5,May,1977.02
2016-06-30,169.67,114.96,117.75,760.05,311.0,20.0,127.0,134.8,2016,6,Jun,1755.23
2016-07-31,203.97,141.02,137.9,652.36,240.0,8.0,109.0,116.83,2016,7,Jul,1609.08
2016-08-31,211.13,114.37,132.7,753.05,275.5,12.0,116.0,85.3,2016,8,Aug,1700.05
2016-09-30,172.96,126.22,116.7,1118.7,307.0,18.0,121.0,69.3,2016,9,Sep,2049.88
2016-10-31,186.76,142.06,160.15,1617.28,312.0,11.0,220.0,60.9,2016,10,Oct,2710.15
2016-11-30,175.18,116.85,133.85,1062.69,246.0,27.0,150.0,51.2,2016,11,Nov,1962.77
2016-12-31,169.32,135.06,132.4,1624.34,257.0,18.0,275.0,34.9,2016,12,Dec,2646.02
2017-01-31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017,1,Jan,1.0
2017-02-28,139.69,103.52,97.0,526.35,144.0,7.0,117.0,30.6,2017,2,Feb,1165.16
2017-03-31,162.85,111.06,107.35,612.5,165.0,9.0,139.0,100.1,2017,3,Mar,1406.86
2017-04-30,155.61,101.22,100.5,540.2,132.0,9.0,209.0,122.4,2017,4,Apr,1369.93
2017-05-31,143.66,118.13,98.95,547.94,148.0,23.0,128.0,161.81,2017,5,May,1369.49
2017-06-30,122.33,103.01,119.6,496.1,163.0,8.0,163.0,151.9,2017,6,Jun,1326.94
2017-07-31,159.67,116.21,75.2,479.35,219.0,15.0,115.0,81.1,2017,7,Jul,1260.53
2017-08-31,170.15,112.47,84.4,549.3,239.0,12.0,75.0,60.1,2017,8,Aug,1302.42
2017-09-30,138.33,118.71,88.15,863.75,223.0,23.0,139.0,66.9,2017,9,Sep,1660.84
2017-10-31,137.64,88.74,100.4,1184.35,226.0,15.0,247.0,51.0,2017,10,Oct,2050.13
2017-11-30,163.85,119.78,104.45,867.9,192.0,15.0,196.0,46.6,2017,11,Nov,1705.58
2017-12-31,160.01,121.66,115.15,1007.18,226.0,6.0,204.0,47.1,2017,12,Dec,1887.1
2018-01-31,132.28,109.45,101.15,1134.32,229.0,11.0,219.0,49.5,2018,1,Jan,1985.7
2018-02-28,128.36,132.8,114.65,1255.37,268.0,12.0,253.0,39.06,2018,2,Feb,2203.24
2018-03-31,146.16,111.76,122.3,999.12,381.0,42.0,269.0,85.5,2018,3,Mar,2156.84
2018-04-30,170.02,107.72,84.6,836.04,289.0,21.0,229.0,197.1,2018,4,Apr,1934.48
2018-05-31,160.52,103.52,89.4,644.65,259.0,13.0,192.0,213.04,2018,5,May,1675.13
2018-06-30,141.18,114.23,86.8,584.34,248.0,18.0,101.0,120.8,2018,6,Jun,1414.35
2018-07-31,150.18,132.55,87.2,679.35,283.0,19.0,90.0,122.2,2018,7,Jul,1563.48
2018-08-31,140.0,114.72,88.25,733.84,253.0,20.0,159.0,103.1,2018,8,Aug,1611.91
2018-09-30,153.52,114.99,86.5,1058.26,263.0,12.0,205.0,88.1,2018,9,Sep,1981.37
2018-10-31,144.71,129.4,76.05,1129.28,287.0,25.0,353.0,76.9,2018,10,Oct,2221.34
2018-11-30,172.29,105.49,102.15,995.15,252.2,22.0,311.0,48.4,2018,11,Nov,2008.68
2018-12-31,147.71,113.02,84.75,1213.95,254.0,27.0,384.0,53.1,2018,12,Dec,2277.53
2019-01-31,179.7,222.35,99.7,1660.61,295.2,23.0,386.0,41.3,2019,1,Jan,2907.86
2019-02-28,133.73,142.16,110.2,1001.21,249.4,12.0,226.0,69.5,2019,2,Feb,1944.2
2019-03-31,154.52,113.12,83.35,941.05,301.4,19.0,257.0,169.5,2019,3,Mar,2038.94
2019-04-30,161.39,100.17,88.1,647.65,299.4,22.0,259.0,179.1,2019,4,Apr,1756.81
2019-05-31,168.04,97.26,104.1,703.56,265.8,26.0,322.0,135.4,2019,5,May,1822.16
2019-06-30,151.54,101.63,103.2,610.0,193.0,25.0,142.0,156.04,2019,6,Jun,1482.41
2019-07-31,181.0,103.54,92.8,649.8,250.6,20.0,115.0,105.2,2019,7,Jul,1517.94
2019-08-31,181.91,88.27,84.2,518.1,237.0,26.0,145.0,97.3,2019,8,Aug,1377.78
2019-09-30,161.07,111.44,93.5,984.48,227.8,16.0,161.0,109.1,2019,9,Sep,1864.39
2019-10-31,44.37,37.3,20.65,295.15,86.0,7.0,37.0,11.13,2019,10,Oct,538.6
